,id,gender,age,education,start_field,end_field
0,0,M,39,PhD,Education,IT
1,1,F,44,Bachelor,Science,Science
2,2,NS,46,Bachelor,Education,IT
3,3,NS,49,PhD,Science,IT
4,4,F,51,Bachelor,Business,Business
5,5,F,20,Bachelor,Education,Education
6,6,F,24,Master,Education,Education
7,7,M,39,Bachelor,Education,Education
8,8,F,56,HighSchool,Engineering,IT
9,9,M,27,Bachelor,Education,Education
10,10,F,34,PhD,Business,Business
11,11,nonbinary,23,Master,Hospitality,Hospitality
12,12,F,33,HighSchool,IT,IT
13,13,F,34,Master,Business,Business
14,14,F,21,Bachelor,Science,IT
15,15,F,32,Bachelor,Hospitality,Hospitality
16,16,F,35,Master,Hospitality,Hospitality
17,17,F,30,Bachelor,Education,Education
18,18,F,31,HighSchool,IT,IT
19,19,M,33,Master,Science,Science
20,20,F,39,PhD,Science,Science
21,21,F,33,HighSchool,Science,Science
22,22,F,20,Bachelor,IT,IT
23,23,M,33,PhD,Engineering,Engineering
24,24,F,36,HighSchool,Science,IT
25,25,F,24,Bachelor,Hospitality,Hospitality
26,26,nonbinary,42,Bachelor,Administration,Administration
27,27,F,51,PhD,Education,Education
28,28,F,33,Master,Business,Business
29,29,F,54,Bachelor,IT,IT
30,30,M,44,Master,Education,Education
31,31,nonbinary,53,Master,Science,Science
32,32,F,32,Master,Science,Science
33,33,nonbinary,39,Master,IT,IT
34,34,F,33,Master,IT,IT
35,35,F,38,Master,IT,IT
36,36,F,30,PhD,IT,IT
37,37,F,55,PhD,IT,IT
38,38,F,43,PhD,Business,Business
39,39,F,33,Master,Engineering,IT
40,40,F,37,Master,Business,Business
41,41,F,60,PhD,IT,IT
42,42,F,49,PhD,IT,IT
43,43,F,35,Bachelor,Media,Media
44,44,F,33,PhD,Science,Science
45,45,F,32,Master,IT,IT
46,46,M,30,Master,IT,IT
47,47,F,36,Bachelor,Science,Science
48,48,F,33,Bachelor,IT,IT
49,49,F,28,PhD,IT,IT
50,50,M,43,Master,Media,Media
51,51,M,50,PhD,Media,Media
52,52,F,43,Master,Farming,Farming
53,53,M,38,Master,Science,Science
54,54,F,24,Master,Business,Business
55,55,F,32,Bachelor,Education,IT
56,56,F,50,Bachelor,IT,IT
57,57,F,30,Bachelor,Hospitality,Hospitality
58,58,F,50,Bachelor,Education,IT
59,59,nonbinary,27,Master,Farming,Farming
60,60,F,53,PhD,Education,Education
61,61,F,54,PhD,Science,Science
62,62,F,60,Master,Media,Media
63,63,F,28,Master,Education,Education
64,64,F,40,Bachelor,Media,Media
65,65,F,20,PhD,IT,IT
66,66,F,27,Bachelor,IT,IT
67,67,nonbinary,40,HighSchool,IT,IT
68,68,nonbinary,46,Bachelor,Education,IT
69,69,F,23,Master,Science,Science
70,70,M,44,Bachelor,Media,Media
71,71,M,48,PhD,Business,Business
72,72,F,48,Bachelor,Business,Business
73,73,F,34,HighSchool,Science,Science
74,74,F,46,PhD,IT,IT
75,75,F,42,Master,IT,IT
76,76,F,36,Bachelor,IT,IT
77,77,M,32,Master,Management,Management
78,78,M,28,Master,Science,IT
79,79,F,34,Master,Science,Science
80,80,M,39,Bachelor,Engineering,IT
81,81,F,37,PhD,Science,Science
82,82,M,43,HighSchool,Engineering,IT
83,83,M,37,Master,IT,IT
84,84,M,48,PhD,Science,IT
85,85,F,31,Master,Education,Education
86,86,F,50,Master,Engineering,Engineering
87,87,F,57,Master,IT,IT
88,88,nonbinary,40,HighSchool,Hospitality,Hospitality
89,89,F,52,HighSchool,Law,Law
90,90,nonbinary,25,Master,IT,IT
91,91,F,40,HighSchool,Engineering,Engineering
92,92,F,77,HighSchool,IT,IT
93,93,F,28,Bachelor,Hospitality,Hospitality
94,94,F,46,Master,Science,IT
95,95,F,27,PhD,Engineering,Engineering
96,96,nonbinary,35,Master,IT,IT
97,97,F,40,PhD,Business,Business
98,98,F,22,Bachelor,IT,IT
99,99,F,23,Master,Education,Education
100,100,F,22,Master,Science,IT
101,101,F,48,PhD,Business,IT
102,102,NS,48,PhD,IT,IT
103,103,M,48,Master,Science,Science
104,104,F,34,Bachelor,Business,Business
105,105,NS,46,PhD,IT,IT
106,106,F,43,Master,Education,Education
107,107,F,40,PhD,Science,IT
108,108,F,49,PhD,Science,Science
109,109,F,52,Master,Media,Media
110,110,F,54,Master,Science,Science
111,111,F,40,HighSchool,Business,Business
112,112,nonbinary,30,PhD,Science,IT
113,113,F,37,HighSchool,IT,IT
114,114,F,37,Master,IT,IT
115,115,F,37,HighSchool,Business,Business
116,116,F,33,Master,Education,IT
117,117,F,40,PhD,Media,Media
118,118,M,32,Master,Engineering,Engineering
119,119,F,51,Master,Science,Science
120,120,F,38,Master,IT,IT
121,121,F,34,Master,IT,IT
122,122,F,44,HighSchool,IT,IT
123,123,M,40,PhD,IT,IT
124,124,M,41,Master,Management,Management
125,125,F,30,Bachelor,Business,Business
126,126,F,24,Bachelor,Education,Education
127,127,F,31,Master,Media,IT
128,128,F,40,PhD,Science,Science
129,129,F,40,HighSchool,Science,IT
130,130,F,37,Bachelor,IT,IT
131,131,F,57,Master,Education,IT
132,132,F,47,Bachelor,Education,Education
133,133,M,31,Master,Media,Media
134,134,NS,21,Master,Science,IT
135,135,NS,36,Master,Science,Science
136,136,F,41,PhD,Engineering,Engineering
137,137,F,29,PhD,IT,IT
138,138,F,29,Master,Media,Media
139,139,M,49,Master,IT,IT
140,140,nonbinary,54,Bachelor,Business,Business
141,141,F,75,PhD,IT,IT
142,142,F,36,HighSchool,Hospitality,Hospitality
143,143,F,43,Master,Business,Business
144,144,F,47,Bachelor,Science,Science
145,145,M,20,Master,Law,Law
146,146,F,26,PhD,IT,IT
147,147,NS,20,Master,Education,Education
148,148,F,49,Bachelor,Science,Science
149,149,F,22,Master,IT,IT
150,150,M,40,Master,IT,IT
151,151,M,34,PhD,Business,Business
152,152,F,21,PhD,Business,Business
153,153,F,39,Master,Hospitality,Hospitality
154,154,F,38,PhD,Construction,Construction
155,155,F,39,PhD,Science,Science
156,156,F,48,PhD,Science,IT
157,157,F,29,Bachelor,IT,IT
158,158,F,37,PhD,Science,Science
159,159,M,33,Bachelor,IT,IT
160,160,F,39,Master,Engineering,Engineering
161,161,F,27,Bachelor,IT,IT
162,162,F,30,Master,Media,Media
163,163,F,56,PhD,Science,Science
164,164,M,32,Bachelor,IT,IT
165,165,M,31,PhD,Law,Law
166,166,NS,35,Bachelor,Business,Business
167,167,F,44,HighSchool,Science,Science
168,168,F,31,PhD,IT,IT
169,169,F,33,Bachelor,Administration,Administration
170,170,F,38,PhD,IT,IT
171,171,M,32,PhD,Science,IT
172,172,nonbinary,23,PhD,IT,IT
173,173,M,29,Bachelor,Science,IT
174,174,M,33,Master,Engineering,Engineering
175,175,F,39,Master,Engineering,IT
176,176,M,28,Bachelor,Education,Education
177,177,F,52,PhD,IT,IT
178,178,M,38,Master,Science,IT
179,179,F,26,Bachelor,Science,Science
180,180,nonbinary,35,Bachelor,IT,IT
181,181,F,38,Bachelor,Farming,Farming
182,182,F,33,Bachelor,Education,Education
183,183,F,32,Master,Science,Science
184,184,nonbinary,48,Bachelor,Engineering,IT
185,185,F,50,PhD,Hospitality,Hospitality
186,186,F,41,Master,Education,Education
187,187,F,39,Master,Engineering,IT
188,188,M,40,PhD,Administration,Administration
189,189,F,48,Bachelor,Business,Business
190,190,F,34,Bachelor,IT,IT
191,191,F,30,PhD,Science,IT
192,192,M,46,Master,Engineering,Engineering
193,193,F,59,Bachelor,Science,Science
194,194,NS,45,Master,Law,Law
195,195,F,29,Master,IT,IT
196,196,F,26,PhD,Education,Education
197,197,F,55,PhD,Hospitality,Hospitality
198,198,F,27,Bachelor,Science,Science
199,199,F,50,Bachelor,Farming,Farming
200,200,NS,31,Bachelor,IT,IT
201,201,M,32,Bachelor,Science,Science
202,202,F,30,Master,Engineering,Engineering
203,203,F,43,Bachelor,Science,IT
